"RESOURCE_TYPE","DOI_NAME","DOI_TITLE","DOI_SPECIAL","DOI_CREATOR","DOI_DISTRIBUTOR","YEAR","URL","STATUS","PROVIDER","SUBMITTER"
"Data Files","10.3334/ORNLDAAC/1296","Global 1-degree Maps of Forest Area, Carbon Stocks, and Biomass, 1950-2010","","HENGEVELD, G.M.|GUNIA, K.|DIDION, M.|ZUDIN, S.|CLERKX, A.P.P.M.|SCHELHAAS, M.J.","NASA Oak Ridge National Laboratory DAAC","2015","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1296","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1298","CMS: Soil CO2 Efflux and Properties, Site Vegetation Measurements, Mexico, 2011-2012","","VARGAS, R.|LEON, E.","NASA Oak Ridge National Laboratory DAAC","2015","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1298","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1299","MODIS NDVI Data, Smoothed and Gap-filled, for the Conterminous US: 2000-2015","","SPRUCE, J.P.|GASSER, G.E.|HARGROVE, W.W.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1299","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/13","Atmos. Profile: Radiosonde - NCDC (FIFE)","","LUTZ, R.J.","NASA Oak Ridge National Laboratory DAAC","1994","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=13","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/130","FIFE CDROM Vol. 3 Contents: NS001 Thematic Mapper Simulator (TMS) Imagery, 1987-1989","","STREBEL, D.E.|LANDIS, D.R.|HUEMMRICH, K.F.|MEESON, B.W.","NASA Oak Ridge National Laboratory DAAC","2017","https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=130","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1300","CARVE-ARCSS: Methane Loss From Arctic- Fluxes From the Alaskan North Slope, 2012-2014","","ZONA, D.|OECHEL, W.|MILLER, C.E.|DINARDO, S.J.|COMMANE, R.|LINDAAS, J.O.W.|CHANG, R.Y-W.|WOFSY, S.C.|SWEENEY, C.|KARION, A.","NASA Oak Ridge National Laboratory DAAC","2015","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1300","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1301","CMS: Forest Inventory and Biophysical Measurements, Para, Brazil, 2012-2014","","DOS-SANTOS, M.N.|KELLER, M.M.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1301","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1303","Daymet: Annual 2-degree Tile Summary Cross-Validation Statistics for North America","","THORNTON, P.E.|THORNTON, M.M.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1303","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1304","Global 1-km Gridded Thickness of Soil, Regolith, and Sedimentary Deposit Layers","","PELLETIER, J.D.|BROXTON, P.D.|HAZENBERG, P.|ZENG, X.|TROCH, P.A.|NIU, G.|WILLIAMS, Z.C.|BRUNKE, M.A.|GOCHIS, D.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1304","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1305","Land Cover and Land Use Classification for the State of New Hampshire, 1996-2001","","JUSTICE, D.|DEELY, A.K.|RUBIN, F.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1305","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1306","Annual wildland fire emissions (WFEIS v0.5) for Conterminous US and Alaska, 2001-2013","","FRENCH, N.H.F.|MCKENZIE, D.|ERICKSON, T.|KOZIOL, B.|BILLMIRE, M.|ENDSLEY, K.A.|SCHEINERMAN, N.K.Y.|JENKINS, L.|MILLER, M.E.|OTTMAR, R.|PRICHARD, S.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1306","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1307","ABoVE: Burn Severity, Fire Progression, Landcover and Field Data, NWT, Canada, 2014","","BOURGEAU-CHAVEZ, L.L.|FRENCH, N.H.F.|ENDRES, S.|JENKINS, L.|BATTAGLIA, M.|SEROCKI, E.|BILLMIRE, M.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1307","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1308","AMAZE-08 Aerosol Characterization and Meteorological Data, Central Amazon Basin: 2008","","MARTIN, S.T.|ARTAXO, P.E.|CHEN, Q.|GUENTHER, A.B.|GUNTHE, S.S.|JIMENEZ, J.L.|MANZI, A.|PRENNI, K.L.|POSCHL, U.|SCHNEIDER, J.|SWIETLICKI, E.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1308","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1309","CMS: Evapotranspiration and Meteorology, Water-Limited Shrublands, Mexico, 2008-2010","","VILLARREAL, S.|VARGAS, R.|YEPEZ, A.|ACOSTA, S.|CASTRO, A.|ESCOTO-RODRIGUEZ, M.|LOPEZ, E.|MARTINEZ-OSUNA, J.|RODRIGUEZ, J.C.|SMITH, S.V.|VIVONI, E.R.|WATTS, C.J.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1309","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1310","CMS: MODIS GPP, fPAR, and SST, and ENSO Index, Baja California, Mexico, 2000-2013","","REIMER, J.J.|VARGAS, R.|RIVAS, D.|GAXIOLA-CASTRO, G.|HERNANDEZ-AYON, J.M.|LARA-LARA, R.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1310","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1311","Natural and Anthropogenic Methane Sources, New England, USA, 1990-1994","","BLAHA, D.M.|BARLETT, K.B.|CZEPIL, P.M.|CRILL, P.M.|HARRISS, R.C","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1311","Active","Oak Ridge National Laboratory DAAC",""
